timestamp,asOfET,racy_ratio,racy_avg,junk_ratio,junk_avg,skew,skew_avg,havens_bid,gold_chg,bonds_chg,yen_chg,dollar_chg,sectors_above_200,sectors_above_50
2026-06-19T04:51:45.640Z,Jun 19 2026,2.1212,2.0227,0.7336,0.7345,146.72,142.23,2,-1.69,0.49,0.47,0.15,9,5
2026-06-19T04:53:38.555Z,Jun 19 2026,2.1212,2.0227,0.7336,0.7345,146.72,142.23,2,-1.68,0.49,0.47,0.15,9,5
2026-06-19T15:37:13.260Z,Jun 19 2026,2.1212,2.0227,0.731,0.7345,146.72,142.23,1,-1.28,0.49,0.41,-0.08,9,5
2026-06-19T17:19:22.654Z,Jun 19 2026,2.1212,2.0227,0.7336,0.7345,146.72,142.23,1,-1.21,0.49,0.45,-0.09,9,5
2026-06-22T13:00:29.106Z,Jun 22 2026,2.1212,2.0227,0.7336,0.7345,146.72,142.23,1,-0.14,0.49,0.31,-0.02,9,5
2026-06-23T13:00:27.742Z,Jun 23 2026,2.1404,2.0347,0.7349,0.7344,141.85,142.47,1,-1.12,-0.76,0.08,0.26,9,5
2026-06-24T13:26:58.085Z,Jun 24 2026,2.0275,2.0403,0.7334,0.7342,143.14,142.76,2,-3.49,0.13,0.09,0.37,9,7
2026-06-25T13:00:26.278Z,Jun 25 2026,2.0217,2.0426,0.7298,0.7338,145.3,143.07,2,0.92,1.37,0.13,-0.06,9,7
2026-06-26T13:05:08.515Z,Jun 26 2026,2.0607,2.0462,0.7295,0.7335,139.89,143.14,2,0.77,-0.03,-0.07,-0.26,9,8
2026-06-29T12:40:39.996Z,Jun 29 2026,1.9864,2.0441,0.729,0.7332,139.4,143.13,1,-0.6,0.01,0.05,-0.11,9,8
2026-06-30T12:55:56.859Z,Jun 30 2026,2.0263,2.0415,0.7294,0.733,144.46,143.15,3,0.19,0.1,0.37,0.26,9,7
2026-07-01T13:38:50.606Z,Jul 1 2026,2.0305,2.0345,0.7339,0.733,149.6,143.5,2,0.83,-1.07,0.37,0.2,9,5
2026-07-02T12:55:32.222Z,Jul 2 2026,2.0242,2.0342,0.7338,0.733,154.82,144.08,2,1.89,-1.04,-1.05,-0.78,10,5
2026-07-03T13:00:26.080Z,Jul 3 2026,1.9269,2.0244,0.7337,0.733,150.02,144.74,2,1.85,-0.01,-0.84,-0.08,9,8
2026-07-06T13:10:12.680Z,Jul 6 2026,1.9269,2.0244,0.7337,0.733,150.02,144.74,2,0.91,-0.01,0.58,0.26,9,8
2026-07-07T13:05:15.542Z,Jul 7 2026,1.9731,2.0182,0.735,0.7331,145.38,144.9,2,0.57,-0.07,0.26,0.07,10,8
2026-07-08T12:47:54.202Z,Jul 8 2026,1.8959,2.0155,0.7393,0.7333,145.74,144.58,1,-1.58,-1.05,0.23,0.02,9,7
2026-07-09T13:00:58.495Z,Jul 9 2026,1.9185,2.0108,0.7399,0.7335,149.79,144.82,1,1.31,-0.22,0.04,-0.06,9,6
2026-07-10T13:00:31.289Z,Jul 10 2026,1.9819,2.0115,0.7404,0.7338,144.67,144.95,2,-0.48,0.15,-0.45,-0.06,9,5
2026-07-13T12:56:00.216Z,Jul 13 2026,1.9706,2.0155,0.7418,0.7342,144.27,145.01,1,-0.8,-0.02,-0.14,-0.03,9,7
2026-07-14T12:20:05.053Z,Jul 14 2026,1.9067,2.0116,0.7435,0.7347,145.69,145.15,1,0.91,-0.59,0.21,-0.22,9,7
2026-07-15T12:21:11.600Z,Jul 15 2026,1.9067,2.0116,0.7435,0.7347,145.69,145.15,1,-0.42,-0.59,-0.04,-0.26,9,7
2026-07-16T12:26:21.521Z,Jul 16 2026,1.9437,2.0024,0.7419,0.7356,148.51,145.48,2,-0.54,0.19,0.01,0.06,9,6
2026-07-17T12:17:25.185Z,Jul 17 2026,1.8576,1.9933,0.7423,0.736,145.72,145.64,2,0.19,-0.04,0.18,0.06,9,9
2026-07-20T13:11:58.520Z,Jul 20 2026,1.8407,1.9824,0.7405,0.7364,147.28,145.87,3,0.03,0.37,0.02,0.12,9,7
2026-07-21T12:42:02.612Z,Jul 21 2026,1.8479,1.9687,0.7436,0.7369,146.05,145.84,2,1.4,-0.75,0.17,0.03,9,7
2026-07-22T12:44:06.776Z,Jul 22 2026,1.9147,1.9575,0.7454,0.7374,151.66,146.33,1,1.56,-0.27,0.34,-0.08,9,6
2026-07-23T12:45:32.136Z,Jul 23 2026,1.8991,1.951,0.7455,0.738,150.19,146.68,1,-1.71,-0.26,0.31,0.22,9,7
